method_d,Category,SubCat
Rear-Naked Choke,Choke,Rear-Naked
Corner Stoppage,Stoppage,Corner Stoppage
Heel Hook,JointLock,Heel Hook
Smother Choke,Choke,Smother
Punches,Strike,Punches
Head Kick,Strike,Kick
Lapel Choke,Choke,Lapel
Guillotine Choke,Choke,Guillotine
Armlock,JointLock,Armlock
Elbows,Strike,Elbow
Knees,Strike,Knee
Punch,Strike,Punch
Triangle Choke,Choke,Triangle
Rear Naked Choke,Choke,Rear-Naked
Choke,Choke,Choke
Armbar,JointLock,Armbar
Keylock,JointLock,Keylock
Cut,MISC,Cut
Front Choke,Choke,Front
Elbow,Strike,Elbow
Strikes,Strike,Strike
Position,MISC,Position
Kneebar,JointLock,Kneebar
Doctor Stoppage,Stoppage,Doctor Stoppage
Unanimous,Decision,Unanimous
Split,Decision,Split
Doctor Stoppage - Broken Nose,Decision,Doctor Stoppage
Exhaustion,MISC,Exhaustion
Neck Crank,JointLock,Neck Crank
Forearm Choke,Choke,Forearm
Fatigue,MISC,Exhaustion
Headbutts,Strike,Headbutt
Achilles Lock,JointLock,Achilles
Crucifix Choke,Choke,Crucifix
Chin to the Eye,Strike,Chin
Knee,Strike,Knee
Slam,MISC,Slam
Shoulder Choke,Choke,Shoulder
Submission (Armbar,JointLock,Armbar
Submission (Arm-Triangle Choke,Choke,Arm-Triangle
Arm-Triangle Choke,Choke,Arm-Triangle
Majority,Decision,Majority
Kicking with Shoes,Strike,Kick
Punches and Elbows,Strike,Elbow and Punch
Triangle Armbar,JointLock,Triangle Armbar
Dislocated Shoulder,Injury,Dislocated Shoulder
Bulldog Choke,Choke,Injury
Spinning Back Fist,Strike,Neck Injury
Kick to the Body and Punches,Strike,Knee Injury
Repeated Fouls,DQ,Shoulder Injury
Knee and Punches,Strike,Knee and Punch
Inside Shoulder Lock,JointLock,Leg Injury
Injury,Injury,Eye Injury
Kimura,JointLock,Kimura
Toe Hold,JointLock,Ankle Injury
Knees and Punches,Strike,Jaw Injury
Arm Triangle Choke,Choke,Thumb Injury
Kicking a Downed Opponent,Strike,Finger Injury
Punches and Knees,Strike,Esophagus Injury
Flying Head Kick and Punches,Strike,Hand Injury
