Wins,Losses
0,0
42,29
83,0
24,150
0,126
0,0
0,0
43,0
116,0
0,0
0,0
0,0
0,0
0,0
0,0
242,0
0,0
90,123
242,0
98,80
75,0
0,0
14,0
67,0
0,58
0,0
0,0
12,0
0,0
46,142
75,0
0,0
0,43
58,9
78,0
0,0
0,36
0,0
0,0
58,0
0,0
170,0
0,0
0,0
0,154
0,0
0,0
0,0
93,51
0,0
0,14
0,0
6,44
0,249
2,0
0,0
240,0
0,0
0,0
47,0
0,0
0,0
99,0
9,41
5,4
63,0
2,0
89,105
4,34
0,48
0,0
0,0
9,0
195,0
11,0
0,168
60,0
1,0
0,0
59,74
0,0
175,116
0,0
0,121
133,66
0,0
38,0
0,0
35,0
0,0
8,0
26,2
1,0
25,0
3,29
123,0
52,0
20,14
9,0
94,160
27,160
188,60
85,0
0,0
117,11
69,4
141,0
1,166
22,0
14,262
113,0
2,179
1,0
3,0
43,8
18,175
0,0
36,2
25,47
45,0
198,75
50,0
3,0
171,0
42,0
29,0
2,0
92,26
9,74
3,188
123,0
89,0
0,2
44,38
140,97
143,104
52,15
32,0
33,2
25,0
18,0
67,0
15,26
110,188
134,13
90,0
43,95
17,13
36,0
29,179
23,35
51,10
10,0
25,7
58,0
56,4
31,109
11,177
32,45
36,13
19,0
7,0
25,0
18,95
44,0
2,258
11,274
87,158
106,0
107,0
69,0
55,0
14,4
72,23
93,120
78,0
108,0
82,189
3,127
3,29
18,75
56,0
107,2
6,18
30,2
66,0
142,6
7,66
89,0
3,0
1,108
7,25
12,0
68,0
102,0
3,0
9,0
39,29
30,0
152,0
0,0
11,159
22,0
67,0
16,0
13,198
8,0
1,70
27,148
1,0
95,155
11,9
44,42
142,111
39,0
2,0
10,12
110,0
80,155
83,25
2,3
32,36
23,124
107,0
144,57
69,0
14,22
2,274
11,0
61,0
5,22
11,68
0,83
26,62
1,0
18,205
111,85
14,29
156,9
1,11
8,16
1,0
39,0
31,211
56,58
110,0
0,0
20,0
47,26
39,0
5,87
16,39
3,41
127,171
83,10
111,14
10,62
11,75
19,102
26,34
139,0
3,0
50,0
3,184
4,148
0,195
59,0
14,27
73,33
11,0
21,94
105,167
217,54
36,0
10,22
118,92
26,0
10,181
89,0
34,231
45,167
5,0
113,7
36,0
12,111
21,122
208,88
123,54
0,280
5,0
11,5
54,12
2,67
149,1
12,58
16,0
66,21
104,0
198,0
89,20
16,120
40,187
66,67
15,0
145,12
18,53
65,26
64,45
22,37
15,99
47,74
124,0
84,0
159,0
14,122
113,44
40,27
138,9
7,119
0,183
28,31
17,45
26,6
27,0
120,225
32,14
71,0
50,0
14,26
1,7
3,109
30,154
39,65
97,113
64,139
84,9
10,203
127,127
14,1
47,25
97,5
56,301
119,0
89,162
66,9
3,6
150,12
90,6
74,36
129,0
41,168
50,7
63,11
33,37
75,68
11,192
0,0
45,59
120,260
23,33
24,41
22,126
59,29
27,0
3,147
14,0
34,134
45,0
169,24
159,6
7,110
16,18
